id,display_name,path,role,ordering
1001,First Republic Checking,assets.curr.cash.checking,asset,0
1100,Accounts Receivable,assets.curr.ar,asset,0
1250,Prepaid Expenses,assets.curr.other.prepaidexp,asset,0
1501,"Inventory--  Library, Baby Years",assets.curr.inventory.library.babyyears,asset,0
1502,"Inventory--  Library, School Years",assets.curr.inventory.library.schoolyears,asset,0
3000,Accounts Payable,liabilities.curr.ap,liability,0
3010,Accrued Liabilities,liabilities.curr.accrued,liability,0
3100,Partner Loans,liabilities.noncurr.loan.partner,liability,0
3500,Partner Contributions,equity.partnercontribs,capital,0
4050,Product Sales,equity.revenue.sales.product,capital,0
4051,Sales -- Library Baby Years,equity.revenue.sales.product.LBYE,capital,0
4052,Sales -- Library School Years,equity.revenue.sales.product.LSYE,capital,0
4201,Cost of Sales -- Library Baby Years,equity.revenue.costofsales.product.LBYE,capital,0
4202,Cost of Sales -- Library School Years,equity.revenue.costofsales.product.LSYE,capital,0
4450,Restocking Fees,equity.revenue.sales.restocking,capital,0
4500,Sales Returns,equity.revenue.sales.returns,capital,0
4525,Replacements (Warranty),equity.revenue.sales.replace.warranty,capital,0
5065,Product Packaging (in distro price),equity.revenue.costofsales.packaging,capital,0
5070,Outbound Shipping & Handling,equity.revenue.costofsales.shipping,capital,0
5075,Defective Goods,equity.revenue.costofsales.defectivegoods,capital,0
6001,Merchant Fees - Visa/Mastercard,equity.revenue.opexp.merchantfees.visa_mcard,expense,0
6002,Merchant Fees - AMEX,equity.revenue.opexp.merchantfees.amex,expense,0
6003,Merchant Fees - Paypal,equity.revenue.opexp.merchantfees.paypal,expense,0
6004,Merchant Fees - Square,equity.revenue.opexp.merchantfees.square,expense,0
6010,Payroll,equity.revenue.opexp.payroll,expense,0
6020,Rent,equity.revenue.opexp.occupancy.rent,expense,0
6021,Utilities,equity.revenue.opexp.occupancy.utilities,expense,0
6031,Local Transportation,equity.revenue.opexp.localtrans,expense,0
6032,Travel,equity.revenue.opexp.travel,expense,0
6033,Lodging,equity.revenue.opexp.lodging,expense,0
6034,Meals & Entertainment,equity.revenue.opexp.mealsent,expense,0
6040,Insurance,equity.revenue.opexp.insurance,expense,0
6051,Legal (includes patent work),equity.revenue.opexp.proffees.legal,expense,0
6052,Accountinhg,equity.revenue.opexp.proffees.acctg,expense,0
6053,Strategy Consulting,equity.revenue.opexp.proffees.strategy,expense,0
6061,Design,equity.revenue.opexp.design,expense,0
6062,Graphics,equity.revenue.opexp.design.graphics,expense,0
6063,Prototypes,equity.revenue.opexp.design.prototypes,expense,0
6064,Product Research,equity.revenue.opexp.design.research,expense,0
6071,Supplies,equity.revenue.opexp.general.supplies,expense,0
6072,Shipping,equity.revenue.opexp.general.shippinh,expense,0
6073,Dues & Subscriptions,equity.revenue.opexp.general.subscriptions,expense,0
6074,Cloud Software Services,equity.revenue.opexp.general.cloudservices,expense,0
6079,Other General & Admin,equity.revenue.opexp.general.other,expense,0
6111,Cloud Services,equity.revenue.opexp.infra.cloud,expense,0
6112,Web Hosting,equity.revenue.opexp.infra.webhost,expense,0
6113,Software Licences,equity.revenue.opexp.infra.software,expense,0
6114,Development Costs,equity.revenue.opexp.infra.devcosts,expense,0
6201,Advertising,equity.revenue.opexp.advert.general,expense,0
6202,Marketing Materials,equity.revenue.opexp.advert.materials,expense,0
6203,Tradeshow fees,equity.revenue.opexp.advert.tradeshow,expense,0
6204,Digital Production,equity.revenue.opexp.advert.digital,expense,0
6501,Storage,equity.revenue.opexp.distn.storage,expense,0
6502,Fulfillment,equity.revenue.opexp.distn.fulfill,expense,0
6503,Receiving & Stocking,equity.revenue.opexp.distn.stocking,expense,0
6504,Return Processing,equity.revenue.opexp.distn.returnprocess,expense,0
6505,Warehouse Costs,equity.revenue.opexp.distn.warehousecosts,expense,0
6506,Account Admin,equity.revenue.opexp.distn.acctadmin,expense,0
6600,Product  Safety Testing,equity.revenue.opexp.product.testing,expense,0
7090,Bank Charges,equity.retearnings.opexp.admin.bankfees,expense,0
8001,State Taxes and Fees,equity.retearnings.taxexp.statecorp,expense,0
